Date,Open,High,Low,Close,Volume
4/17/2020,50800,52000,50300,51400,32041675
4/20/2020,51400,51400,50000,50100,21866354
4/21/2020,49400,49700,48700,49250,27407543
4/22/2020,48700,50000,48350,49850,18613864
4/23/2020,50200,50300,49500,49850,18754442
4/24/2020,49650,49750,49000,49350,15618347
4/27/2020,49350,50000,49100,49850,14049471
4/28/2020,49850,50100,49300,50100,16095399
4/29/2020,49900,50500,49600,50000,15604533
05/4/2020,48900,49100,48500,48500,26083749
05/6/2020,49000,49200,48500,49200,18070225
05/7/2020,49200,49300,48700,48800,13884411
05/8/2020,49100,49350,48800,48800,15319700
05/11/2020,48900,49250,48300,48400,16357743
05/12/2020,48400,48500,47550,47900,23433590
5/13/2020,47250,48550,47200,48550,20223277
5/14/2020,47750,48100,47650,48000,19305974
5/15/2020,48400,48450,47700,47850,18463118
5/18/2020,47950,49100,47600,48800,20481981
5/19/2020,50100,50500,49700,50300,25168295
5/20/2020,50000,50200,49800,50000,14896899
5/21/2020,50300,50400,49850,49950,14949266
5/22/2020,49600,49800,48600,48750,19706284
5/25/2020,48750,48900,48450,48850,14337913
5/26/2020,48700,49450,48600,49250,15127490
5/27/2020,48950,50000,48800,49900,19548479
5/28/2020,51100,51200,49900,50400,31309318
5/29/2020,50000,50700,49700,50700,27596961
06/1/2020,50800,51200,50600,51200,16949183
06/2/2020,51000,51500,50800,51400,14247933
06/3/2020,51800,55000,51700,54500,49257814
06/4/2020,55800,57000,54600,54600,40220334
06/5/2020,54400,55900,54000,55500,22743629
06/8/2020,56400,56500,54700,54900,25634965
06/9/2020,55800,56500,54400,55500,23998831
06/10/2020,55100,55900,54900,55400,16742493
06/11/2020,54500,55100,53200,54300,33815123
06/12/2020,52100,52800,51500,52300,26976019
6/15/2020,51400,52000,49900,49900,28772921
6/16/2020,51200,52100,50600,52100,21808375
6/17/2020,52100,52900,51300,52200,26672595
6/18/2020,52200,52300,51600,52300,15982926
6/19/2020,52600,52900,51600,52900,18157985
6/22/2020,52000,52600,51800,52000,13801350
6/23/2020,52500,52800,51100,51400,18086152
6/24/2020,51900,53900,51600,52900,24519552
6/25/2020,52100,53000,51900,51900,18541624
6/26/2020,52800,53900,52200,53300,21575360
6/29/2020,52500,53200,52000,52400,17776925
6/30/2020,53900,53900,52800,52800,21157172
07/1/2020,53400,53600,52400,52600,16706143
07/2/2020,52100,52900,52100,52900,14142583
07/3/2020,53000,53600,52700,53600,11887868
07/6/2020,54000,55000,53800,55000,19856623
07/7/2020,55800,55900,53400,53400,30760032
07/8/2020,53600,53900,52900,53000,19664652
07/9/2020,53200,53600,52800,52800,17054850
07/10/2020,53100,53200,52300,52700,13714746
7/13/2020,53300,53800,53100,53400,12240188
7/14/2020,53700,53800,53200,53800,14269484
7/15/2020,54400,55000,54300,54700,24051450
7/16/2020,54800,54800,53800,53800,16779127
7/17/2020,54200,54700,54100,54400,10096174
7/20/2020,54800,54800,54000,54200,10507530
7/21/2020,55200,55400,54800,55300,18297260
7/22/2020,55300,55500,54700,54700,12885057
7/23/2020,54700,54700,53800,54100,16214932
7/24/2020,54000,54400,53700,54200,10994535
7/27/2020,54300,55700,54300,55600,21054421
7/28/2020,57000,58800,56400,58600,48431566
7/29/2020,60300,60400,58600,59000,36476611
7/30/2020,59700,60100,59000,59000,19285354
7/31/2020,59500,59600,57700,57900,21943345
08/3/2020,57800,57900,56700,56800,21158940
08/4/2020,57200,58100,57000,57300,19419694
08/5/2020,57300,57500,56300,56900,17739706
08/6/2020,57100,58400,57100,58000,21625874
08/7/2020,57900,58400,57100,57500,18751717
08/10/2020,57600,58300,57500,57800,17774291
08/11/2020,58000,59500,57800,58200,24907912
08/12/2020,58200,59000,57700,59000,18573934
8/13/2020,59400,59600,58000,58700,22089460
8/14/2020,58000,58400,57700,58000,15672548
8/18/2020,58900,59900,58000,58400,25307825
8/19/2020,59000,59200,57800,57800,16930719
8/20/2020,57600,57600,55300,55400,30386029
8/21/2020,56200,56900,55800,55900,21142288
8/24/2020,55800,56600,55400,56100,15055896
8/25/2020,56400,56800,56100,56400,14021705
8/26/2020,56400,56500,55700,56400,17651593
8/27/2020,56300,56300,55600,55600,16196568
8/28/2020,56100,56300,55400,55400,14619888
8/31/2020,56000,56100,54000,54000,32671367
09/1/2020,54100,54800,54100,54200,19363117
09/2/2020,54600,55100,54100,54400,16905723
09/3/2020,55600,56700,55500,56400,28384920
09/4/2020,55200,55800,55100,55600,22139109
09/7/2020,56100,57300,55800,56500,18685880
09/8/2020,57400,58700,57200,58700,31517520
09/9/2020,58200,59300,57800,58400,30597399
09/10/2020,59900,60000,59100,59200,29923293
09/11/2020,59300,59400,58200,59000,16017098
9/14/2020,60200,60800,59900,60400,20648281
9/15/2020,60900,61000,60500,61000,17877075
9/16/2020,61100,61300,60600,61000,17041444
9/17/2020,60700,60800,59300,59500,25108356
9/18/2020,59800,59900,59100,59300,18884571
9/21/2020,59100,60000,59000,59200,15140387
9/22/2020,59100,59700,57800,58200,20830381
9/23/2020,58400,58800,57400,58600,20111398
9/24/2020,57700,58600,57600,57800,17564020
9/25/2020,57700,58200,57700,57900,11444683
9/28/2020,58300,58800,57900,58200,12614080
9/29/2020,58300,59000,58200,58200,15503563
10/5/2020,57500,59200,57500,58700,20228289
10/6/2020,59400,59900,58700,59000,14463826
10/7/2020,58700,59900,58500,59900,14861838
10/8/2020,60500,60700,59500,59700,24589924
10/12/2020,60000,60400,59900,60400,16145837
10/13/2020,61000,61400,60400,60900,19247631
10/14/2020,61000,61100,60500,60900,16086716
10/15/2020,60700,60800,59700,60000,17756232
10/16/2020,60000,60400,59000,59500,16554190
10/19/2020,59600,60200,59500,60000,14474985
10/20/2020,60300,60900,60100,60900,19326115
10/21/2020,61200,61500,60600,60900,15703443
10/22/2020,60300,60500,59800,60100,14294095
