"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-14","83",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-15","76",,"74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-16","80",,"74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-17","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-18","80",,"75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-19","84",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-20","87",,"79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-21","86",,"81"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-22","84",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-23","80",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-24","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-25","85",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-26","84",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-27","80",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-28","78",,"77"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-29","81",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-30","83",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-31","78",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-01","85",,"75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-02","86",,"80"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-03","86",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-04","87",,"79"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-05","89",,"82"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-06","85",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-07","84",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-08","82",,"78"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-09","81",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-10","77",,"75"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-11","80",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-12","83",,"74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-13","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-14","76",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-15","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-16","74",,"69"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-17","78",,"70"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-18","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-19","79",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-20","74",,"72"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-21","78",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-22","82",,"74"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-23","82",,"76"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-24","78",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-25","77",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-26","75",,"66"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-27","73",,"66"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-28","70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-29","67",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-30","68",,"61"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-31","72",,"62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-01","74",,"63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-02","75",,"65"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-03","75",,"66"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-04","76",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-05","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-06","68",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-07","73",,"64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-08","75",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-09","75",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-10","73",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-11","69",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-12","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-13","70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-14","73",,"59"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-15","72",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-16","72",,"62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-17","72",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-18","73",,"62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-19","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-20","67",,"57"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-21","69",,"58"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-22","70",,"60"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-23","72",,"64"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-24","72",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-25","75",,"63"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-26","78",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-27","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-28","64",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-29","65",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-09-30","69",,"58"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-01","64",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-02","71",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-03","62",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-04","63",,"51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-05","67",,"57"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-06","66",,"61"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-07","73",,"62"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-08","73",,"67"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-09","72",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-10","70",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-11","57",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-12","51",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-13","56",,"43"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-14","58",,"48"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-15","62",,"48"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-16","60",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-17","63",,"49"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-18","61",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-19","62",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-20","63",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-21","64",,"52"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-22","60",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-23","57",,"47"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-24","58",,"50"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-25","58",,"49"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-26","59",,"51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-27","62",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-28","63",,"51"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-29","49",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-30","46",,"36"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-10-31","54",,"38"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-11-01","59",,"53"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-11-02","60",,"57"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-11-03","50",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-11-04","45",,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-11-05","49",,"37"
